qid,source,year,round,number,subject,question,option1,option2,option3,option4,option5,answer_no,answer_option,explanation
2023-R1-Q41,2023-R1,2023,1,41,상권분석,점포의 매매나 임대차시 필요한 점포 권리분석을 위해서 공부서류를 이용할 수 있다. 이들 공부서류와 확인 가능한 내용의 연결이 옳지 않은 것은?,"① 지적도 – 토지의 모양과 경계, 도로 등을 확인할 수 있음",② 등기사항전부증명서 - 소유권 및 권리관계 등을 알 수 있음,"③ 건축물대장 – 건물의 면적, 층수, 용도, 구조 등을 확인 할 수 있음","④ 토지초본 – 토지의 소재, 지번, 지목, 면적 등을 확인 할 수 있음",⑤ 토지이용계획확인서 – 토지를 규제하는 도시계획 상황을 확인할 수 있음,4,"④ 토지초본 – 토지의 소재, 지번, 지목, 면적 등을 확인 할 수 있음",2023-R1 A형 가답안 기준
2023-R1-Q43,2023-R1,2023,1,43,상권분석,상권분석 과정에서 점포의 위치와 해당 점포를 이용하는 소비자의 분포를 공간적으로 표현할 때 보편적으로 관찰 되는 거리감소효과(distance decay effect)에 대한 설명 으로 옳지 않은 것은?,① 고객점표(CST) 지도를 이용하면 쉽게 관찰할 수 있다.,② 거리조락현상 또는 거리체증효과라고도 한다.,③ 거리 마찰에 따른 비용과 시간의 증가 때문에 나타난다.,"④ 유사점포법, 회귀분석법을 이용하여 확인할 수 있다.",⑤ 점포로부터 멀어질수록 고객의 밀도가 낮아지는 경향을 말한다.,2,② 거리조락현상 또는 거리체증효과라고도 한다.,2023-R1 A형 가답안 기준
2023-R1-Q44,2023-R1,2023,1,44,상권분석,아래 글상자의 내용에서 말하는 장단점은 어떤 형태의 소매점포 출점에 대한 내용인가? 장점 단점 - 직접 소유로 인한 장기간 - 초기 고정투자부담이 큼 영업 - 건설 및 인허가기간 소요 - 영업상의 신축성 확보 - 적당한 부지 확보 어려움 - 새로운 시설 확보 - 점포 이동 등 입지변경 - 구조 및 설계 유연성 어려움,① 기존건물에 속한 점포임대,② 기존건물 매입,③ 부지매입 건물신축,④ 기존건물의 점포매입,⑤ 신축건물 임대 6 -,3,③ 부지매입 건물신축,2023-R1 A형 가답안 기준
2023-R1-Q45,2023-R1,2023,1,45,상권분석,확률적으로 매출액이나 상권의 범위를 예측하는 상권 분석 기법들에서 이론적 근거로 이용하고 있는 Luce의 선택공리와 관련이 없는 것은?,① 공간상호작용모델(SIM)은 소매점의 상권분석과 입지 의사결정에 이용하는 근거가 된다.,② 특정 선택대안의 효용이 다른 대안보다 높을수록 선택될 확률이 높다고 가정한다.,③ 어떤 대안이 선택될 확률은 그 대안이 갖는 효용을 전체 선택대안들이 가지는 효용의 총합으로 나눈 값과 같다고 본다.,④ 소비자가 어느 점포에 대해 느끼는 효용이 가장 크더 라도 항상 그 점포를 선택하지 않을 수 있다고 인식 한다.,"⑤ Reilly의 소매중력모형, Huff모형, MNL모형은 Luce의 선택공리를 근거로 하는 대표적 상권분석 기법들이다. <제3과목> 유통마케팅",5,"⑤ Reilly의 소매중력모형, Huff모형, MNL모형은 Luce의 선택공리를 근거로 하는 대표적 상권분석 기법들이다. <제3과목> 유통마케팅",2023-R1 A형 가답안 기준
2023-R1-Q46,2023-R1,2023,1,46,유통마케팅,광고 매체를 선정할 때 고려해야 할 여러 가지 요인에 대한 설명으로 옳지 않은 것은?,① 도달범위(reach)란 일정기간 동안 특정 광고에 적어도 한 번 이상 노출된 청중의 수 또는 비율을 말한다.,② GRP(gross rating points)란 광고효과를 계량화하여 측정하기 위한 기준으로 보통 시청자들의 광고인지도를 중심으로 측정한다.,③ 광고스케줄링이란 일정기간 동안 광고예산을 어떻게 배분하여 집행할 것인가에 대한 결정이다.,④ 도달빈도(frequency)란 일정기간 동안 특정광고가 한 사람에게 노출된 평균 횟수를 말한다.,⑤ CPRP(cost per rating points)란 매체비용을 시청률로 나눈 비용이라 할 수 있다.,2,② GRP(gross rating points)란 광고효과를 계량화하여 측정하기 위한 기준으로 보통 시청자들의 광고인지도를 중심으로 측정한다.,2023-R1 A형 가답안 기준
2023-R1-Q47,2023-R1,2023,1,47,유통마케팅,매장 레이아웃(layout)에 대한 설명으로 가장 옳지 않은 것은?,① 격자형 배치는 고객이 매장 전체를 둘러보고 자신이 원하는 상품을 쉽게 찾을 수 있게 한다.,② 격자형 배치는 다른 진열방식에 비해 공간효율성이 높고 비용면에서 효과적이다.,③ 경주로형 배치는 고객들이 다양한 매장의 상품을 볼 수 있게 하여 충동구매를 유발할 수 있다.,④ 자유형 배치는 규모가 작은 전문매장이나 여러 개의 소규모 전문매장이 있는 대형점포의 배치 방식이다.,⑤ 자유형 배치는 고객들이 주 통로를 지나다니면서 다양한 각도의 시선으로 상품을 살펴볼 수 있다.,5,⑤ 자유형 배치는 고객들이 주 통로를 지나다니면서 다양한 각도의 시선으로 상품을 살펴볼 수 있다.,2023-R1 A형 가답안 기준
2023-R1-Q48,2023-R1,2023,1,48,유통마케팅,전략적 CRM(customer relationship management)의 적용 과정으로서 가장 옳지 않은 것은?,① 정보관리과정,② 전략 개발과정,③ 투자 타당성 평가 과정,④ 가치창출 과정,⑤ 다채널 통합과정 2급 A형 - 7,3,③ 투자 타당성 평가 과정,2023-R1 A형 가답안 기준
2023-R1-Q49,2023-R1,2023,1,49,유통마케팅,도매상의 마케팅믹스전략에 관한 설명으로 가장 옳지 않은 것은?,① 소매상이나 제조업자와 마찬가지로 거래규모나 시기에 따른 가격할인 또는 매출증대를 위한 가격인하 등의 가격변화를 시도하기도 한다.,② 제조업자가 제공하는 촉진물과 촉진프로그램을 적극 활용할 뿐만 아니라 자체적인 촉진프로그램의 개발을 통해 고객인 소매상을 유인하여야 한다.,③ 도매상은 소매상에게 제공해야 할 제품구색과 서비스 수준을 결정해야 한다.,④ 도매상은 최종소비자를 대상으로 영업활동을 하는 것 이기 때문에 점포와 같은 물리적인 시설에 비용투자를 해야 한다.,⑤ 일반적으로 도매상은 소요비용을 충당하기 위해 원가에 일정비율을 마진으로 가산하는 원가중심가격결정법을 사용한다.,4,④ 도매상은 최종소비자를 대상으로 영업활동을 하는 것 이기 때문에 점포와 같은 물리적인 시설에 비용투자를 해야 한다.,2023-R1 A형 가답안 기준
2023-R1-Q50,2023-R1,2023,1,50,유통마케팅,소매업체들의 서비스 마케팅 관리를 위한 서비스마케팅 믹스(7P)로 옳지 않은 것은?,① 장소(place),② 가능 시간(possible time),③ 사람(people),④ 물리적 환경(physical evidence),⑤ 과정(process),2,② 가능 시간(possible time),2023-R1 A형 가답안 기준
2023-R1-Q51,2023-R1,2023,1,51,유통마케팅,머천다이징의 개념에 관한 설명 중 가장 옳지 않은 것은?,① 소매점포가 소비자들의 특성에 적합한 제품들을 잘 선정해서 매입하고 진열하는 것이다.,② 소매업체가 좋은 제품을 찾아서 좋은 조건에 매입해서 진열하는 것과 관련된 모든 것을 말한다.,③ 고객의 니즈를 만족시킬 뿐만 아니라 수요를 적극적 으로 창출하기 위한 상품화계획을 의미한다.,④ 제품계획 혹은 상품화활동은 상품의 시장성을 향상시킬 수 있는 계획활동이다.,⑤ 제품 및 제품성과에 대한 소비자들의 지각과 느낌을 상징한다.,5,⑤ 제품 및 제품성과에 대한 소비자들의 지각과 느낌을 상징한다.,2023-R1 A형 가답안 기준
2023-R1-Q52,2023-R1,2023,1,52,유통마케팅,구매자들을 라이프 스타일 또는 개성과 관련된 특징들을 근거로 서로 다른 시장으로 세분화하는 것을 지칭하는 개념으로 옳은 것은?,① 지리적 세분화,② 인구통계적 세분화,③ 행동적 세분화,④ 심리묘사적 세분화,⑤ 시장형태의 세분화,4,④ 심리묘사적 세분화,2023-R1 A형 가답안 기준
2023-R1-Q53,2023-R1,2023,1,53,유통마케팅,제품믹스(product mix) 또는 제품포트폴리오(product portfolio)의 특성 중에서 “제품라인 내 제품품목(product item)의 수”를 일컫는 말로 옳은 것은?,① 제품믹스의 깊이(product mix depth),② 제품믹스의 폭(product mix width),③ 제품믹스의 일관성(product mix consistency),④ 제품믹스의 길이(product mix length),⑤ 제품믹스의 구성(product mix composition) 7 -,1,① 제품믹스의 깊이(product mix depth),2023-R1 A형 가답안 기준
2023-R1-Q54,2023-R1,2023,1,54,유통마케팅,"아래 글상자의 ( ㉠ )과 ( ㉡ )에 들어갈 용어로 가장 옳은 것은? 유통경로에서의 수직적 통합에는 두 가지 유형이 있다. ( ㉠ )은(는) 제조회사가 도·소매업체를 소유하거나, 도매 상이 소매업체를 소유하는 것과 같이 공급망의 상류 기업이 하류의 기능을 통합하는 것이다. 반면 ( ㉡ )은 도·소매 업체가 제조기능을 수행하거나 소매업체가 도매기능을 수행 하는 것과 같이 공급망의 하류에 위치한 기업이 상류의 기능까지 통합하는 것이다.","① ㉠ 후방통합, ㉡ 전방통합","② ㉠ 전방통합, ㉡ 후방통합","③ ㉠ 경로통합, ㉡ 전방통합","④ ㉠ 전략적 제휴, ㉡ 후방통합","⑤ ㉠ 전략적 제휴, ㉡ 경로통합",2,"② ㉠ 전방통합, ㉡ 후방통합",2023-R1 A형 가답안 기준
2023-R1-Q55,2023-R1,2023,1,55,유통마케팅,"아래 글상자의 내용과 관련하여 가장 옳지 않은 것은? ㉠ 기존 자사 제품을 통해 기존 시장에서 매출액이나 시장 점유율을 높이기 위한 전략이다. ㉡ 두 개 이상의 소매업체 간의 자원을 공동으로 이용하여 소유권, 통제권, 이익이 공유되는 새로운 회사를 설립 할 때 활용하는 전략이다. ㉢ 기존의 제품으로 새로운 유통경로를 개척하여 시장을 확장하는 전략이다.",① ㉠은 소매업체의 성장전략 중 시장침투 전략에 대한 설명이다.,② ㉠은 자사 점포에서 쇼핑하지 않은 고객을 유인하거나 기존 고객들이 더 많은 상품을 구매하도록 유인하는 전략이다.,"③ ㉡은 위험이 낮고 투자가 적게 요구되는 전략이지만, 가맹계약 해지를 통해 경쟁자가 되는 위험을 가지고 있다.",④ ㉡은 소매업체가 해외시장에 진출할 때 활용되는 진입 전략 중 하나이다.,⑤ ㉢은 새로운 시장에서 기존 소매업태를 이용하는 성장 전략이다.,3,"③ ㉡은 위험이 낮고 투자가 적게 요구되는 전략이지만, 가맹계약 해지를 통해 경쟁자가 되는 위험을 가지고 있다.",2023-R1 A형 가답안 기준
2023-R1-Q56,2023-R1,2023,1,56,유통마케팅,로열티 프로그램으로 가장 옳지 않은 것은?,① 구매액에 따라 보너스 점수를 부여하거나 방문수에 따라 스탬프를 모으게 하는 스탬프 제도,② 상품구매자를 대상으로 여러 혜택을 얻을 수 있는 프로 그램에 가입하게 하는 회원제도,③ 20%의 우량고객에 집중해 핵심고객에게 많은 혜택이 부여되는 마케팅 프로그램 기획 및 운영,④ 동일 기업 내 다수의 브랜드의 통합 또는 이종기업 간의 제휴를 통한 통합 포인트 적립 프로그램,⑤ 기업의 자선활동 및 공익프로그램과의 연계를 통한 사회문제해결 및 공유가치 창출 프로그램 2급 A형 - 8,5,⑤ 기업의 자선활동 및 공익프로그램과의 연계를 통한 사회문제해결 및 공유가치 창출 프로그램 2급 A형 - 8,2023-R1 A형 가답안 기준
2023-R1-Q57,2023-R1,2023,1,57,유통마케팅,시각적 머천다이징에 대한 아래의 설명 중에서 가장 옳지 않은 것은?,① 점포 내외부 디자인도 포함하는 개념이지만 핵심개념은 매장 내 전시(display)를 중심으로 한다.,② 상품과 판매환경을 시각적으로 연출하고 관리하는 일련의 활동을 말한다.,③ 상품과 점포 이미지가 일관성을 유지할 수 있게 진열 하는 것이 중요하다.,"④ 시각적 머천다이징의 요소로는 색채, 재질, 선, 형태, 공간 등을 들 수 있다.",⑤ 상품의 잠재적 이윤보다는 인테리어 컨셉 및 전체적 조화 등을 고려하여 이루어진다.,5,⑤ 상품의 잠재적 이윤보다는 인테리어 컨셉 및 전체적 조화 등을 고려하여 이루어진다.,2023-R1 A형 가답안 기준
2023-R1-Q58,2023-R1,2023,1,58,유통마케팅,아래 글상자의 괄호 안에 들어갈 소매업 발전이론으로 옳은 것은? ( )은 소매시스템에서 우세한 소매업태가 취급하는 상품 계열수의 측면에서 현대 상업시스템의 진화를 설명하는 이론으로 소매상은 제품구색이 넓은 소매업태에서 전문화된 좁은 제품구색의 소매업태로 변화되었다가 다시 넓은 제품 구색의 소매업태로 변화되는 과정을 설명하고 있다.,① 소매아코디언이론(retail accordion theory),② 소매수명주기이론(retail life cycle theory),③ 소매차륜이론(the wheel of retailing theory),④ 변증법적이론(dialectic theory),⑤ 진공지대이론(vacuum zone theory),1,① 소매아코디언이론(retail accordion theory),2023-R1 A형 가답안 기준
2023-R1-Q59,2023-R1,2023,1,59,유통마케팅,제품에 맞는 판매기법으로 가장 옳지 않은 것은?,① 편의품은 입지 조건에 따라 판매가 크게 좌우되므로 접근이 더 용이하도록 배달서비스 제공을 고려할 필요가 있다.,② 편의품은 보다 풍요로운 생활과 즐거움을 제공하는 제품으로 스타일과 디자인을 강조한다.,③ 선매품의 경우 고객의 질문에 충분히 답할 수 있는 판매원의 교육 훈련이 필요하다.,④ 선매품은 패션성이 강하기 때문에 재고가 누적되지 않도록 시의적절한 판촉을 수행한다.,⑤ 전문품은 전문적이고 충분한 설명을 통해 소비자의 구매의욕을 충분히 자극시켜야 한다.,2,② 편의품은 보다 풍요로운 생활과 즐거움을 제공하는 제품으로 스타일과 디자인을 강조한다.,2023-R1 A형 가답안 기준
2023-R1-Q60,2023-R1,2023,1,60,유통마케팅,옴니채널(omni-channel)의 특징으로 옳지 않은 것은?,① 독립적으로 운영되던 채널들이 유기적으로 통합되어 서로의 부족한 부분을 메워주는 보완적 관계를 갖는다.,② 채널 간의 불필요한 경쟁은 온·오프라인의 판매실적을 통합함으로써 해결한다.,③ 동일한 제품을 온라인이나 오프라인에 상관없이 동일한 가격과 프로모션으로 구매할 수 있다.,④ 온·오프라인의 재고관리 시스템을 일원화할 수 있다.,⑤ 동일한 기업으로부터 공급받은 제품을 매장별로 독특한 마케팅 프로그램을 활용하여 판매한다. 8 -,5,⑤ 동일한 기업으로부터 공급받은 제품을 매장별로 독특한 마케팅 프로그램을 활용하여 판매한다. 8 -,2023-R1 A형 가답안 기준
2023-R1-Q61,2023-R1,2023,1,61,유통마케팅,고객의 개인정보보호에 관한 내용으로 가장 옳지 않은 것은?,① 고객정보를 제3자에게 제공하거나 제공받은 목적 외의 용도로 이용해서는 안 된다.,"② 고객은 개인정보수집, 이용, 제공 등에 대해 동의 철회 및 정정을 요구할 수 있다.","③ SMS 광고 전송 시 전송자의 명칭을 표시하고, 수신 거부 의사를 표현할 수 있게 해야 한다.",④ 경품응모권을 통해 수집한 개인정보는 보유 및 이용 기간의 제한이 없기 때문에 영구적인 이용이 가능하다.,⑤ 오후 9시부터 아침 8시까지는 별도의 동의 없이 광고를 전송해서는 안 된다.,4,④ 경품응모권을 통해 수집한 개인정보는 보유 및 이용 기간의 제한이 없기 때문에 영구적인 이용이 가능하다.,2023-R1 A형 가답안 기준
2023-R1-Q62,2023-R1,2023,1,62,유통마케팅,CRM과 eCRM을 비교하여 설명한 내용으로 가장 옳은 것은?,① CRM과 달리 eCRM은 원투원마케팅(one-to-one marketing)과 데이터베이스마케팅 활용을 중시한다.,② CRM과 달리 eCRM은 고객 개개인에 대한 차별적 서비 스를 실시간으로 제공한다.,③ eCRM과 달리 CRM은 고객접점과 커뮤니케이션 경로의 활용을 중시한다.,④ eCRM과 달리 CRM은 고객서비스 개선 및 거래활성 화를 위한 고정고객 관리에 중점을 둔다.,⑤ CRM과 eCRM 모두 데이터마이닝 등 고객행동분석의 전사적 활용을 추구한다.,5,⑤ CRM과 eCRM 모두 데이터마이닝 등 고객행동분석의 전사적 활용을 추구한다.,2023-R1 A형 가답안 기준
2023-R1-Q63,2023-R1,2023,1,63,유통마케팅,아래 글상자의 조사 내용 중에서 비율척도로 측정해야 하는 요소만을 나열한 것으로 옳은 것은? ㉠ 구매자의 성별 및 직업 ㉡ 상품 인기 순위 ㉢ 타겟고객의 소득구간 ㉣ 소비자의 구매확률 ㉤ 충성고객의 구매액 ㉥ 매장의 시장점유율,"① ㉠, ㉡, ㉢","② ㉢, ㉣, ㉤","③ ㉣, ㉤, ㉥","④ ㉡, ㉣, ㉥","⑤ ㉢, ㉤, ㉥",3,"③ ㉣, ㉤, ㉥",2023-R1 A형 가답안 기준
2023-R1-Q64,2023-R1,2023,1,64,유통마케팅,다단계 판매에 대한 설명으로 옳지 않은 것은?,① 고객과 대면접촉을 통해 상품을 판매하는 인적판매의 일종이다.,② 유통마진을 절감시킬 수 있다.,③ 고정 인건비가 발생하지 않는다.,④ 매출 증가에 따라 조직이 비대해지는 단점이 있다.,⑤ 점포 판매에 비해 훨씬 더 적극적으로 시장을 개척해 나갈 수 있다.,4,④ 매출 증가에 따라 조직이 비대해지는 단점이 있다.,2023-R1 A형 가답안 기준
2023-R1-Q65,2023-R1,2023,1,65,유통마케팅,소매업체 입장에서 특정 공급자의 개별품목 또는 재고 관리 단위를 평가하는 방법으로 가장 옳은 것은?,① 직접제품이익,② 경로 구성원 성과평가,③ 평당 총이익,④ 상시 종업원 당 총이익,⑤ 경로 구성원 총자산 수익률 2급 A형 - 9,1,① 직접제품이익,2023-R1 A형 가답안 기준
2023-R1-Q66,2023-R1,2023,1,66,유통마케팅,"아래 글상자에서 설명하는 경로 구성원들 간의 갈등이 발생하는 원인으로 가장 옳은 것은? 소비자 가격을 책정할 때 대규모 제조업체는 신속한 시장 침투를 위해 저가격을 원하지만, 소규모 소매업자들은 수익성 증대를 위해 고가격을 원함으로써 갈등이 발생 할 수 있다.",① 경로 구성원의 목표들 간의 양립불가능성,② 마케팅 과업과 과업수행 방법에 대한 경로 구성원들 간의 의견 불일치,③ 경로 구성원들 간의 현실을 지각하는 차이,④ 경로 구성원들 간의 파워 불일치,⑤ 경로 구성원들 간의 품질 요구 불일치,1,① 경로 구성원의 목표들 간의 양립불가능성,2023-R1 A형 가답안 기준
2023-R1-Q67,2023-R1,2023,1,67,유통마케팅,원가가산법(cost plus pricing)에 의한 가격책정에 관한 설명으로 가장 옳지 않은 것은?,① 제품의 원가에 일정률의 판매수익률(또는 마진)을 가산 하여 판매가격을 결정하는 방법을 말한다.,"② 단위당 변동비, 고정비, 예상판매량, 판매수익률을 바탕 으로 산출할 수 있다.",③ 예상판매량이 예측 가능한 경우 주로 사용하는 방법 이다.,④ 생산자 입장에서 결정되는 가격이므로 소비자에게 최종 적으로 전달되는 가격과는 차이가 있다.,⑤ 가격변화가 판매량에 큰 영향을 미치지 않거나 기업이 가격을 통제할 수 있는 경우에 효과적이다.,3,③ 예상판매량이 예측 가능한 경우 주로 사용하는 방법 이다.,2023-R1 A형 가답안 기준
2023-R1-Q68,2023-R1,2023,1,68,유통마케팅,"아래 글상자의 내용에 해당되는 마케팅조사 기법으로 가장 옳은 것은? 제품, 서비스 등의 대안들에 대한 소비자의 선호 정도로부터 소비자가 각 속성에 부여하는 상대적 중요도와 속성수준의 효용을 추정하는 분석방법",① t-검증,② 분산 분석,③ 회귀 분석,④ 컨조인트 분석,⑤ 군집 분석,4,④ 컨조인트 분석,2023-R1 A형 가답안 기준
2023-R1-Q69,2023-R1,2023,1,69,유통마케팅,매장의 내부 환경요소로 가장 옳지 않은 것은?,① 매장의 입출구와 주차시설,② 매장의 색채와 조명,③ 매장의 평면배치,④ 매장의 상품진열,⑤ 매장의 배경음악 및 분위기,1,① 매장의 입출구와 주차시설,2023-R1 A형 가답안 기준
2023-R1-Q70,2023-R1,2023,1,70,유통마케팅,종적인 공간효율을 개선시키고 진열선반의 높이가 낮을 때는 위에서 아래로 시선을 유도하는 페이싱 방법으로 가장 옳은 것은?,① 페이스 아웃(face out),② 슬리브 아웃(sleeve out),③ 쉘빙(shelving),④ 행깅(hanging),⑤ 폴디드 아웃(folded out) 9 - <제4과목> 유통정보,3,③ 쉘빙(shelving),2023-R1 A형 가답안 기준
2023-R1-Q71,2023-R1,2023,1,71,유통정보,QR 코드에 대한 설명으로 가장 옳지 않은 것은?,① 1994년에 일본 덴소웨이브사가 개발했다.,② 숫자와 알파벳 등의 데이터를 담을 수 있다.,③ 오염이나 손상된 데이터를 복원하는 기능이 있다.,④ 국제표준이 정립되지 않아 다양한 국가에서 자체적 으로 활용될 수 있다.,"⑤ 모바일 쿠폰, 광고, 마케팅 등 다양한 분야에 활용되고 있다.",4,④ 국제표준이 정립되지 않아 다양한 국가에서 자체적 으로 활용될 수 있다.,2023-R1 A형 가답안 기준
2023-R1-Q72,2023-R1,2023,1,72,유통정보,최근 유통분야에서 인공지능 기술의 활용이 증대되면서 유통업무 혁신을 위한 다양한 가능성을 보여주고 있다. 이에 대한 설명으로 가장 옳지 않은 것은?,① 인공지능 기술을 활용하여 유통업체에서 고객의 일상 적인 문의사항에 대해 다양한 정보를 다양한 경로로 제공할 수 있다.,"② 인공지능 기술은 주문이행 관련 배송경로, 재고파악 등 고객의 주문에 대한 업무와 관련된 최적의 대안을 신속하게 제공해주어 의사결정에 도움을 줄 수 있다.",③ 인공지능 기술을 활용하면 주문 데이터 패턴을 분석 해서 정상적이지 않은 거래를 파악하는 등 이상 현상 및 이상 패턴을 추출하는 데 활용될 수 있다.,④ 인공지능 기술은 알고리즘을 이용해 학습 수준이 강화 되기 때문에 이용자의 질의에 대한 응답 수준은 갈수록 정교해질 것이다.,⑤ 챗지피티는 사전에 구축된 방대한 양의 학습데이터 에서 질의에 적절한 해답을 찾아 질의자에게 빠르게 제시해 주는 인공지능 기술 기반 서비스로 마이크로 소프트사가 개발하였다.,5,⑤ 챗지피티는 사전에 구축된 방대한 양의 학습데이터 에서 질의에 적절한 해답을 찾아 질의자에게 빠르게 제시해 주는 인공지능 기술 기반 서비스로 마이크로 소프트사가 개발하였다.,2023-R1 A형 가답안 기준
2023-R1-Q73,2023-R1,2023,1,73,유통정보,데이터 유형 분류와 그 특성에 대한 설명으로 가장 옳지 않은 것은?,① 정형 데이터 – 관계형 데이터베이스 관리 시스템 (RDBMS)의 고정된 필드에 저장되는 데이터들이 포함됨,② 정형 데이터 – 데이터의 길이와 형식이 정해져 있어 그에 맞추어 데이터를 저장하게 됨,"③ 반정형 데이터 – 문서, 웹문서, HTML 등이 대표적 이며, 데이터 속성인 메타데이터를 가지고 있음","④ 반정형 데이터 – JSON, 웹로그 등 데이터가 해당되며, XML 형태의 데이터로 값과 형식이 다소 일관성이 없음","⑤ 비정형 데이터 – 형태와 구조가 복잡한 이미지, 동영상 같은 멀티미디어 데이터가 이에 해당됨",3,"③ 반정형 데이터 – 문서, 웹문서, HTML 등이 대표적 이며, 데이터 속성인 메타데이터를 가지고 있음",2023-R1 A형 가답안 기준
2023-R1-Q74,2023-R1,2023,1,74,유통정보,CRM을 통해 성공적으로 고객을 관리하고 있음을 추적 하기 위해 사용할 수 있는 지표로 가장 옳지 않은 것은?,① 신규 고객 유치율,② 마케팅 캠페인 당 구매 건수,③ 마케팅 캠페인 당 반응 건수,④ 제품 당 신규 판매 기회 건수,⑤ 시스템 다운타임 2급 A형 - 10,5,⑤ 시스템 다운타임 2급 A형 - 10,2023-R1 A형 가답안 기준
2023-R1-Q75,2023-R1,2023,1,75,유통정보,"최근 개인정보보호 문제가 중요한 이슈로 대두되고 있다. 아래 글상자는 하버드 대학교 버크만 센터에서 제시한 개인정보보호 AI윤리원칙이다. ㉠과 ㉡에 해당하는 각각의 권리로 가장 옳은 것은? ㉠ 데이터 컨트롤러(data controller)가 보유한 정보가 부정확하거나 불완전한 경우, 사람들이 이를 수정할 권리가 있어야 함 ㉡ 자신의 개인정보를 삭제할 수 있는 법적 강제력이 있는 권리가 있어야 함","① ㉠ 자기 결정권, ㉡ 정보 열람권","② ㉠ 자기 결정권, ㉡ 정보 정정권","③ ㉠ 정보 삭제권, ㉡ 자기 결정권","④ ㉠ 정보 정정권, ㉡ 정보 삭제권","⑤ ㉠ 정보 열람권, ㉡ 자기 결정권",4,"④ ㉠ 정보 정정권, ㉡ 정보 삭제권",2023-R1 A형 가답안 기준
2023-R1-Q76,2023-R1,2023,1,76,유통정보,산업혁명에 따른 기업의 비즈니스 환경 변화에 대한 설명 으로 가장 옳은 것은?,① 1차 산업혁명 시기에는 컴퓨터와 같은 전자기기 활용을 통해 업무 프로세스 개선을 달성하였다.,"② 2차 산업혁명 시기에는 업무 프로세스에 대한 부분 자동화가 이루어졌고, 네트워킹 기능이 프로세스 혁신을 위해 활성화되기 시작하였다.","③ 3차 산업혁명 시기에는 노동에서 분업이 이루어지기 시작하였고, 전문성이 강조되기 시작하였다.","④ 4차 산업혁명 시기에는 전화, TV, 인터넷 등과 같은 의사소통 방식이 기업에서 활성화되었다.",⑤ 4차 산업혁명 시기에는 인공지능과 사물인터넷 등 신기술 이용을 통해 비즈니스 프로세스에 혁신이 이루 어졌다.,5,⑤ 4차 산업혁명 시기에는 인공지능과 사물인터넷 등 신기술 이용을 통해 비즈니스 프로세스에 혁신이 이루 어졌다.,2023-R1 A형 가답안 기준
2023-R1-Q77,2023-R1,2023,1,77,유통정보,"아래 글상자의 괄호 안에 공통적으로 들어갈 용어로 가장 옳은 것은? - ( )은(는) 디지털 기술을 사회전반에 적용하여 전통적인 사회구조를 혁신시키는 것이다. 일반적으로 기업에서 사물 인터넷, 클라우드 컴퓨팅, 인공지능, 빅데이터 솔루션 등 정보통신기술을 플랫폼으로 구축·활용하여 기존의 전통 적인 운영방식과 서비스 등을 혁신하는 것이다. - ( )은(는) 산업과 사회의 각 부문이 디지털화되는 현상으로 인터넷, 정보화 등을 뛰어넘는 초연결(hyper- connectivity) 지능화가 경제·사회 전반에 이를 촉발 시키고 있다.",① 디지타이제이션(digitization),② 초지능화(hyper-intellectualization),③ 디지털 컨버전스(digital convergence),④ 디지털 전환(digital transformation),⑤ 하이퍼인텐션(hyper-intention) 0 -,4,④ 디지털 전환(digital transformation),2023-R1 A형 가답안 기준
2023-R1-Q78,2023-R1,2023,1,78,유통정보,조직에서 의사결정을 할 때 활용되는 정보와 조직 수준 과의 관계에 대한 설명 중 가장 옳지 않은 것은?,"① 전략적 수준 – 주로 비구조화된 의사결정이 이루어지며, 내부 정보 외에도 외부 환경과 관련된 정보 등 외부 에서 수집된 정보도 다수 활용","② 관리적 수준 – 구조화된 의사결정이 이루어지며, 새로운 공장입지 선정 및 신기술 도입 등과 같은 사항과 관련된 내외부 정보를 주로 다룸",③ 전략적 수준 – 의사결정 시 활용되는 정보의 특성은 미래지향적이며 상대적으로 추상적이고 포괄적인 정보를 주로 다룸,"④ 운영적 수준 – 구조화된 의사결정이 이루어지며, 일일 거래 처리와 같이 구체적이고 상세하며 시간에 민감한 정보를 주로 다룸","⑤ 운영적 수준 – 반복적이고 재발성의 특성이 높은 의사결정들이 주로 이루어지며, 효율성에 초점을 두고 활동이 이루어짐",2,"② 관리적 수준 – 구조화된 의사결정이 이루어지며, 새로운 공장입지 선정 및 신기술 도입 등과 같은 사항과 관련된 내외부 정보를 주로 다룸",2023-R1 A형 가답안 기준
